work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,Mid,Full time,Data Scientist,70000,EUR,79833,DE,No remote,DE,Large
2020,Senior,Full time,Machine Learning Scientist,260000,USD,260000,JP,No remote,JP,Small
2020,Senior,Full time,Big Data Engineer,85000,GBP,109024,GB,Hybrid,GB,Medium
2020,Mid,Full time,Product Data Analyst,20000,USD,20000,HN,No remote,HN,Small
2020,Senior,Full time,Machine Learning Engineer,150000,USD,150000,US,Hybrid,US,Large
2020,Entry,Full time,Data Analyst,72000,USD,72000,US,Remote,US,Large
2020,Senior,Full time,Lead Data Scientist,190000,USD,190000,US,Remote,US,Small
2020,Mid,Full time,Data Scientist,11000000,HUF,35735,HU,Hybrid,HU,Large
2020,Mid,Full time,Business Data Analyst,135000,USD,135000,US,Remote,US,Large
2020,Senior,Full time,Lead Data Engineer,125000,USD,125000,NZ,Hybrid,NZ,Small
2020,Entry,Full time,Data Scientist,45000,EUR,51321,FR,No remote,FR,Small
2020,Mid,Full time,Data Scientist,3000000,INR,40481,IN,No remote,IN,Large
2020,Entry,Full time,Data Scientist,35000,EUR,39916,FR,No remote,FR,Medium
2020,Mid,Full time,Lead Data Analyst,87000,USD,87000,US,Remote,US,Large
2020,Mid,Full time,Data Analyst,85000,USD,85000,US,Remote,US,Large
2020,Mid,Full time,Data Analyst,8000,USD,8000,PK,Hybrid,PK,Large
2020,Entry,Full time,Data Engineer,4450000,JPY,41689,JP,Remote,JP,Small
2020,Senior,Full time,Big Data Engineer,100000,EUR,114047,PL,Remote,GB,Small
2020,Entry,Full time,Data Science Consultant,423000,INR,5707,IN,Hybrid,IN,Medium
2020,Mid,Full time,Lead Data Engineer,56000,USD,56000,PT,Remote,US,Medium
2020,Mid,Full time,Machine Learning Engineer,299000,CNY,43331,CN,No remote,CN,Medium
2020,Mid,Full time,Product Data Analyst,450000,INR,6072,IN,Remote,IN,Large
2020,Senior,Full time,Data Engineer,42000,EUR,47899,GR,Hybrid,GR,Large
2020,Mid,Full time,BI Data Analyst,98000,USD,98000,US,No remote,US,Medium
2020,Mid,Full time,Lead Data Scientist,115000,USD,115000,AE,No remote,AE,Large
2020,Executive,Full time,Director of Data Science,325000,USD,325000,US,Remote,US,Large
2020,Entry,Full time,Research Scientist,42000,USD,42000,NL,Hybrid,NL,Large
2020,Senior,Full time,Data Engineer,720000,MXN,33511,MX,No remote,MX,Small
2020,Entry,Contract,Business Data Analyst,100000,USD,100000,US,Remote,US,Large
2020,Senior,Full time,Machine Learning Manager,157000,CAD,117104,CA,Hybrid,CA,Large
2020,Mid,Full time,Data Engineering Manager,51999,EUR,59303,DE,Remote,DE,Small
2020,Entry,Full time,Big Data Engineer,70000,USD,70000,US,Remote,US,Large
2020,Senior,Full time,Data Scientist,60000,EUR,68428,GR,Remote,US,Large
